,TweetID,Username,CreateDate,Biased,Keyword,Text,Prediction
0,1242382710561107969,SevenShepherd,2020-03-24 09:28:15+00:00,0,Israel,"""[Even] an heritage unto Israel his servant: for his mercy [endureth] for ever."" ~Psalms 136:22 #Bible #Poetry #God","content=""0. The tweet provided does not contain any content that falls under the definition of antisemitism provided. It is a quote from the Bible, referencing God's mercy for Israel as his servant and using relevant hashtags (#Bible #Poetry #God). It does not express hatred towards Jews or target Jewish individuals or institutions, nor does it use classic antisemitic tropes or apply double standards to Israel."""
1,1222609422238617600,Jan_lindsay,2020-01-29 19:56:15+00:00,1,Israel,"@JoAnn54819331 @JB62154 @SexCounseling @RobertRLOCKLEA5 @dbongino @MittRomney @lisamurkowski @SenatorCollins Israel has been destroying Palestinians and stealing their land for DECADES. The USA is drilling oil in PALESTINE, thats theft! They are INVADING another country...Remember Poland?","content='1) This tweet can be considered antisemitic according to the provided definition. The tweet contains several elements that fall under the categories of antisemitism, such as denying Jewish people\'s right to self-determination (by implying that Israel\'s existence is a racist endeavor), applying double standards to Israel (comparing it to Poland without context), and making stereotypical allegations about Jews or the power of Jews as a collective. By saying ""Israel has been destroying Palestinians and stealing their land for DECADES,"" the tweet also targets the state of Israel, which is another category of antisemitism mentioned in the definition. The reference to ""Remember Poland?"" without any context implies that the actions of Israel are similar to the Nazi invasion of Poland during World War II, thus further aligning with the definition\'s mention of comparing Jews or Israel to Nazis.'"
2,1217912306480316416,nickforthemany,2020-01-16 20:51:36+00:00,0,Israel,"@Rachael_Swindon @knightrgb I agree however there are many people who say it is antisemetic to challenge the Israeli government at all,its a word used to often now by people who don’t understand it. It’s antisemetic to challenge the existence of the Jewish community and it’s people not a governments action","content='0: This tweet does not directly or indirectly meet any of the definitions provided in the antisemitic examples. The user is expressing their disagreement with people who believe that critiquing the Israeli government is automatically considered antisemitic. While there are some arguments to be made about the use and misuse of ""antisemitism"" in political discourse, this particular tweet does not endorse hatred or harm towards Jewish individuals or their institutions. It is a criticism of people who misunderstand what constitutes antisemitism and does not fit the definitions provided for the phenomenon.'"
3,1221102213797498882,BPost222,2020-01-25 16:07:09+00:00,0,Israel,"🇮🇱 Israel Gym 🇮🇱 \n\n✨ Latias ✨\n\nGym : Don Quixote \nCity : Ramat Gan \nTeam : ❤️\nTime : xx:31\n\n32.050971,34.776826\n#ExPassGym\n#PokemonGo","content='0\nThe tweet provided does not contain any elements of antisemitism according to the definition provided. It appears to simply be a location-based post related to a Pokémon Go event at a gym in Ramat Gan, Israel. The user mentions the name ""Latias"" which is a Pokemon character and provides coordinates for the location. There are no elements of hate, stereotyping, or accusations towards Jews, the state of Israel, or the Pokémon community that could be construed as antisemitic. Therefore, it can be determined that this tweet does not fall under the definition of antisemitism.'"
4,1213188309155008513,LadyLiberty1791,2020-01-03 20:00:07+00:00,0,Israel,Iran lied to America and the west\n\nIran funds terror against America and Israel\n\nWhy did Obama and Biden send them $1 billion in CASH?\n\nDid they get anything in return?\n\nWhy is John Kerry allowed to secretly negotiate in defiance of the Logan Act?\n\nInvestigate these ties to Iran!,"content=""0. This tweet does not directly contain any antisemitic language or sentiments, and it is primarily criticizing political figures like Obama, Biden, and John Kerry for their dealings with Iran. While the context of Iran's actions may involve some anti-Jewish sentiment due to Iran's history of animosity towards Israel and the Jewish people, this tweet focuses on questioning the United States' past foreign policy decisions and does not explicitly target or express hatred toward Jews. Therefore, it does not fulfill any of the definitions or criteria provided for antisemitism in the given definition."""
5,1234727115041517569,dbochemwlf,2020-03-03 06:27:39+00:00,0,Israel,@mrbesseder @BDS_Australia Hey hey bibi win... and viva bib am israel hai,"content='0\n\nThis tweet does not fall under any of the criteria in the provided definition of antisemitism. The user appears to be congratulating Binyamin ""Bibi"" Netanyahu, a former Israeli Prime Minister and referring to Israel as \'Bib am Israel hai\', which translates to ""Bibi the people of Israel are alive"". There is no explicit hatred towards Jews or demonization present in this tweet. It doesn\'t call for harm, accuse Jews, or Israel of wrongdoings, nor does it deny the Holocaust, use any classic antisemitic tropes, apply double standards to Israel, nor hold Jews collectively responsible for actions of the state of Israel. It is simply a congratulatory message towards Bibi Netanyahu and a statement that Israel remains alive or vital.'"
6,1216390039065780225,MikeReeseM,2020-01-12 16:02:39+00:00,0,Israel,From India to Hungary to the US . . . Israel finds comfort with the most repressive and totalitarian regimes in the world. Its what it is.,"content=""0) The provided tweet does not meet the criteria for antisemitism according to the definition given. It criticizes the state of Israel's political alliances rather than expressing hatred toward Jews or making demonizing or stereotypical allegations about them as a collective. It is merely an expression of disapproval towards specific international relations, without targeting Jewish individuals or their property. Therefore, it does not qualify as antisemitic according to the definition provided."""
7,1246436250770386945,capybaratime,2020-04-04 13:55:34+00:00,0,Israel,@mutedlavender ISabelle\nISrael\nreally makes  you think,"content='0\n\nThe provided tweet does not contain any explicit hateful, demonizing or stereotypical allegations about Jews or the power of Jews as collective. The use of ""really makes you think"" implies that whatever is being said could be an opinion, criticism, or a statement related to Israel, but it doesn\'t necessarily fall into any category defined in the antisemitism definition provided. \n\nThe tweet appears to express doubt or disagreement about something related to Israel rather than hatred towards Jews or stereotyping them. Therefore, without more context or additional details, we cannot definitively label this as an example of antisemitism under the definition given.'"
8,1233523876606468099,rockapepolitics,2020-02-28 22:46:24+00:00,0,Israel,The boycott movement (#BDS) against Israel is so obviously rooted in antisemitism. \n\nIt is telling that nations such as Germany and Austria - who know exactly what antisemitic boycotts look like - wont tolerate it at all. \n\nThey know what it is and where it leads.,"content='1. This tweet could potentially be perceived as antisemitic according to the definition you provided, particularly if we focus on point 8: ""Applying double standards to Israel, that are not demanded of any other nation."" By calling the #BDS movement against Israel \'obviously rooted in antisemitism\', it can be interpreted as applying a double standard by suggesting all boycotts against Israel are necessarily based on antisemitic beliefs. However, the tweet also mentions Germany and Austria, countries with their own history of antisemitism, not tolerating such boycotts. This could also imply that the author acknowledges the possibility for a justified boycott against Israel. As such, whether this statement is inherently antisemitic may depend on additional context or tone within the conversation. But without further context, the tweet may lean more towards an interpretation of it being antisemitic, so the score would be 1.'"
9,1229064832747483137,TunjiGbadamosi,2020-02-16 15:27:45+00:00,0,Israel,"You don't get to label anyone critical of Israel and the weaponisation of antisemitism as ""a crank"" and label the evidenceless claims of former Guido employees as ""something to be taken seriously"" and then be angry RLB took the only stance that wouldn't lead to mass condemnation","content='0.\n\nThis tweet does not directly or indirectly express hatred towards Jews, nor does it target Jewish individuals or institutions. It is primarily a critique of RLB for being inconsistent in their approach to handling claims related to antisemitism and Israel. The tweet refers to people who are critical of Israel as ""anyone,"" which does not specifically target Jews or Judaism. Thus, according to the provided definition of antisemitism, this tweet is not considered antisemitic.'"
